0,1410,964,1
1,1410,964,1
2,1410,964,1
3,1410,964,1
4,1410,964,1
5,1410,964,1
6,1410,964,1
7,1410,964,1
8,1410,964,1
9,1410,964,1
10,1410,964,1
11,1410,964,1
12,1410,964,1
13,1410,964,1
14,1410,964,1
15,1410,964,1
16,1410,964,1
17,1410,964,1
18,1410,964,1
19,1410,964,1
20,1410,964,1
21,1410,964,1
22,1410,964,1
23,1410,964,1
24,1410,964,1
25,1410,964,1
26,1410,964,1
27,1410,964,1
28,1410,964,1
29,1410,964,1
30,1410,964,1
31,1410,964,1
32,1410,964,1
33,1410,964,1
34,1410,964,1
35,1410,964,1
36,1410,964,1
37,1410,964,1
38,1410,964,1
39,1410,964,1
40,1410,964,1
41,1410,964,1
42,1410,964,1
43,1410,964,1
44,1410,964,1
45,1410,964,1
46,1410,964,1
47,1410,964,1
48,1410,964,1
49,1410,964,1
50,1410,964,1
51,1410,964,1
52,1410,964,1
53,1410,964,1
54,1410,964,1
55,1410,964,1
56,1410,964,1
57,1410,964,1
58,1410,964,1
59,1410,964,1
60,1410,964,1
61,1410,964,1
62,1410,964,1
63,1410,964,1
64,1410,964,1
65,1410,964,1
66,1410,964,1
67,1410,964,1
68,1410,964,1
69,1410,964,1
70,1410,964,1
71,1410,964,1
72,1410,964,1
73,1410,964,1
74,1410,964,1
75,1410,964,1
76,1410,964,1
77,1410,964,1
78,1410,964,1
79,1410,964,1
80,1410,964,1
81,1410,964,1
82,1410,964,1
83,1410,964,1
84,1410,964,1
85,1410,964,1
86,1410,964,1
87,1410,964,1
88,1410,964,1
89,1410,964,1
90,1410,964,1
91,1410,964,1
92,1410,964,1
93,1410,964,1
94,1410,964,1
95,1410,964,1
96,1410,964,1
97,1410,964,1
98,1410,964,1
99,1410,964,1
100,1410,964,1
101,1410,964,1
102,1410,964,1
103,1410,964,1
104,1410,964,1
105,1410,964,1
106,1410,964,1
107,1410,964,1
108,1410,964,1
109,1410,964,1
110,1410,964,1
111,1410,964,1
112,1410,964,1
113,1410,964,1
114,1410,964,1
115,1410,964,1
116,1410,964,1
117,1410,964,1
